canton_code,canton_name,noga_division,noga_label,year,etablissements,emplois,emplois_eq_plein_temps
2,"Bern / Berne",18,"18 Imprimerie et reproduction d'enregistrements",2023,207,1806,1517
2,"Bern / Berne",19,"19 Cokéfaction et raffinage",2023,0,0,0
2,"Bern / Berne",20,"20 Industrie chimique",2023,66,2017,1844
2,"Bern / Berne",21,"21 Industrie pharmaceutique",2023,17,2455,2273
2,"Bern / Berne",22,"22 Fabrication de produits en caoutchouc et en plastique",2023,74,2024,1844
2,"Bern / Berne",23,"23 Fabrication d'autres produits minéraux non métalliques",2023,177,2135,1936
2,"Bern / Berne",24,"24 Métallurgie",2023,42,1107,1040
2,"Bern / Berne",25,"25 Fabrication de produits métalliques, à l'exception des machines et des équipements",2023,1000,12368,11016
2,"Bern / Berne",26,"26 Fabrication de produits informatiques, électroniques et optiques",2023,231,13271,12453
2,"Bern / Berne",27,"27 Fabrication d'équipements électriques",2023,73,2022,1842
2,"Bern / Berne",28,"28 Fabrication de machines et équipements n.c.a.",2023,279,12548,11736
2,"Bern / Berne",29,"29 Industrie automobile",2023,39,471,429
2,"Bern / Berne",30,"30 Fabrication d'autres matériels de transport",2023,35,1227,1126
2,"Bern / Berne",31,"31 Fabrication de meubles",2023,113,1449,1316
2,"Bern / Berne",32,"32 Autres industries manufacturières",2023,410,3697,3230
2,"Bern / Berne",33,"33 Réparation et installation de machines et d'équipements",2023,355,2777,2462
2,"Bern / Berne",35,"35 Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2023,178,4016,3238
2,"Bern / Berne",36,"36 Captage, traitement et distribution d'eau",2023,61,318,213
2,"Bern / Berne",37,"37 Collecte et traitement des eaux usées",2023,77,490,406
2,"Bern / Berne",38,"38 Collecte, traitement et élimination des déchets, récupération",2023,136,1749,1487
2,"Bern / Berne",39,"39 Dépollution et autres services de gestion des déchets",2023,6,39,27
2,"Bern / Berne",41,"41 Construction de bâtiments",2023,895,9663,8742
2,"Bern / Berne",42,"42 Génie civil",2023,151,3247,3052
2,"Bern / Berne",43,"43 Travaux de construction spécialisés",2023,4515,28903,25864
2,"Bern / Berne",45,"45 Commerce et réparation d'automobiles et de motocycles",2023,1992,10598,9128
2,"Bern / Berne",46,"46 Commerce de gros, à l'exception des automobiles et des motocycles",2023,1614,18773,16145
2,"Bern / Berne",47,"47 Commerce de détail, à l'exception des automobiles et des motocycles",2023,5462,39271,28144
2,"Bern / Berne",49,"49 Transports terrestres et transport par conduites",2023,1118,20333,17263
2,"Bern / Berne",50,"50 Transports par eau",2023,7,160,130
2,"Bern / Berne",51,"51 Transports aériens",2023,19,139,102
2,"Bern / Berne",52,"52 Entreposage et services auxiliaires des transports",2023,214,6065,5375
2,"Bern / Berne",53,"53 Activités de poste et de courrier",2023,278,7310,5615
2,"Bern / Berne",55,"55 Hébergement",2023,825,11783,9388
2,"Bern / Berne",56,"56 Restauration",2023,2855,20140,13843
2,"Bern / Berne",58,"58 Édition",2023,190,1791,1166
2,"Bern / Berne",59,"59 Production de films cinématographiques, de vidéo et de programmes de télévision, enregistrement sonore et édition musicale",2023,433,1084,594
2,"Bern / Berne",60,"60 Programmation et diffusion",2023,21,685,521
2,"Bern / Berne",61,"61 Télécommunications",2023,105,5940,5470
2,"Bern / Berne",62,"62 Programmation, conseil et autres activités informatiques",2023,1718,12215,10494
2,"Bern / Berne",63,"63 Services d'information",2023,100,1335,1108
2,"Bern / Berne",64,"64 Activités des services financiers, hors assurance et caisses de retraite",2023,568,9176,7864
2,"Bern / Berne",65,"65 Assurance",2023,138,6278,5178
2,"Bern / Berne",66,"66 Activités auxiliaires de services financiers et d'assurance",2023,608,6006,4998
2,"Bern / Berne",68,"68 Activités immobilières",2023,1661,7261,3973
2,"Bern / Berne",69,"69 Activités juridiques et comptables",2023,2074,8653,6211
2,"Bern / Berne",70,"70 Activités des sièges sociaux, conseil de gestion",2023,2277,11770,9112
2,"Bern / Berne",71,"71 Activités d'architecture et d'ingénierie, activités de contrôle et analyses techniques",2023,2441,16451,13255
2,"Bern / Berne",72,"72 Recherche-développement scientifique",2023,138,1857,1571
2,"Bern / Berne",73,"73 Publicité et études de marché",2023,451,2304,1593
2,"Bern / Berne",74,"74 Autres activités spécialisées, scientifiques et techniques",2023,2278,3817,2308
2,"Bern / Berne",75,"75 Activités vétérinaires",2023,208,2121,1587
2,"Bern / Berne",77,"77 Activités de location et location-bail",2023,227,1185,879
2,"Bern / Berne",78,"78 Activités liées à l'emploi",2023,220,8984,6710
2,"Bern / Berne",79,"79 Activités des agences de voyage, voyagistes, services de réservation et activités connexes",2023,254,1290,849
2,"Bern / Berne",80,"80 Enquêtes et sécurité",2023,87,2802,1849
2,"Bern / Berne",81,"81 Services relatifs aux bâtiments et aménagement paysager",2023,2058,15415,9509
2,"Bern / Berne",82,"82 Activités administratives et autres activités de soutien aux entreprises",2023,344,2388,1756
2,"Bern / Berne",84,"84 Administration publique et défense, sécurité sociale obligatoire",2023,1115,45648,38361
2,"Bern / Berne",85,"85 Enseignement",2023,4251,48827,29354
2,"Bern / Berne",86,"86 Activités pour la santé humaine",2023,7867,59037,40665
2,"Bern / Berne",87,"87 Hébergement médico-social et social",2023,642,31660,21355
2,"Bern / Berne",88,"88 Action sociale sans hébergement",2023,1629,17055,10093
2,"Bern / Berne",90,"90 Activités créatives, artistiques et de spectacle",2023,1995,3973,1807
2,"Bern / Berne",91,"91 Bibliothèques, archives, musées et autres activités culturelles",2023,167,2135,1256
2,"Bern / Berne",92,"92 Organisation de jeux de hasard et d'argent",2023,9,262,200
2,"Bern / Berne",93,"93 Activités sportives, récréatives et de loisirs",2023,1318,9003,4755
2,"Bern / Berne",94,"94 Activités des organisations associatives",2023,2067,19964,11455
2,"Bern / Berne",95,"95 Réparation d'ordinateurs et de biens personnels et domestiques",2023,333,661,487
2,"Bern / Berne",96,"96 Autres services personnels",2023,5005,8383,5253
3,"Luzern",999,"Division économique - total",2023,33840,272217,204270
3,"Luzern",1,"01 Culture et production animale, chasse et services annexes",2023,4393,13061,8327
3,"Luzern",2,"02 Sylviculture et exploitation forestière",2023,59,195,157
3,"Luzern",3,"03 Pêche et aquaculture",2023,9,27,23
3,"Luzern",5,"05 Extraction de houille et de lignite",2023,0,0,0
3,"Luzern",6,"06 Extraction d'hydrocarbures",2023,0,0,0
3,"Luzern",7,"07 Extraction de minerais métalliques",2023,0,0,0
3,"Luzern",8,"08 Autres industries extractives",2023,11,142,127
3,"Luzern",9,"09 Services de soutien aux industries extractives",2023,0,0,0
3,"Luzern",10,"10 Industries alimentaires",2023,253,5729,4728
3,"Luzern",11,"11 Fabrication de boissons",2023,37,561,481
3,"Luzern",12,"12 Fabrication de produits à base de tabac",2023,,449,427
3,"Luzern",13,"13 Fabrication de textiles",2023,45,312,242
3,"Luzern",14,"14 Industrie de l'habillement",2023,84,172,104
