source_scheme,source_code,target_scheme,target_code,relation,source_id
NACE_2.0,1610,ISIC_4,1610,closeMatch,eurostat-nace2-isic4
NACE_2.0,162,ISIC_4,162,closeMatch,eurostat-nace2-isic4
NACE_2.0,1621,ISIC_4,1621,closeMatch,eurostat-nace2-isic4
NACE_2.0,1622,ISIC_4,1622,closeMatch,eurostat-nace2-isic4
NACE_2.0,1623,ISIC_4,1622,closeMatch,eurostat-nace2-isic4
NACE_2.0,1624,ISIC_4,1623,closeMatch,eurostat-nace2-isic4
NACE_2.0,1629,ISIC_4,1629,closeMatch,eurostat-nace2-isic4
NACE_2.0,17,ISIC_4,17,closeMatch,eurostat-nace2-isic4
NACE_2.0,171,ISIC_4,170,closeMatch,eurostat-nace2-isic4
NACE_2.0,1711,ISIC_4,1701,closeMatch,eurostat-nace2-isic4
NACE_2.0,1712,ISIC_4,1701,closeMatch,eurostat-nace2-isic4
NACE_2.0,172,ISIC_4,170,closeMatch,eurostat-nace2-isic4
NACE_2.0,1721,ISIC_4,1702,closeMatch,eurostat-nace2-isic4
NACE_2.0,1722,ISIC_4,1709,closeMatch,eurostat-nace2-isic4
NACE_2.0,1723,ISIC_4,1709,closeMatch,eurostat-nace2-isic4
NACE_2.0,1724,ISIC_4,1709,closeMatch,eurostat-nace2-isic4
NACE_2.0,1729,ISIC_4,1709,closeMatch,eurostat-nace2-isic4
NACE_2.0,18,ISIC_4,18,closeMatch,eurostat-nace2-isic4
NACE_2.0,181,ISIC_4,181,closeMatch,eurostat-nace2-isic4
NACE_2.0,1811,ISIC_4,1811,closeMatch,eurostat-nace2-isic4
NACE_2.0,1812,ISIC_4,1811,closeMatch,eurostat-nace2-isic4
NACE_2.0,1813,ISIC_4,1812,closeMatch,eurostat-nace2-isic4
NACE_2.0,1814,ISIC_4,1812,closeMatch,eurostat-nace2-isic4
NACE_2.0,182,ISIC_4,182,closeMatch,eurostat-nace2-isic4
NACE_2.0,1820,ISIC_4,1820,closeMatch,eurostat-nace2-isic4
NACE_2.0,19,ISIC_4,19,closeMatch,eurostat-nace2-isic4
NACE_2.0,191,ISIC_4,191,closeMatch,eurostat-nace2-isic4
NACE_2.0,1910,ISIC_4,1910,closeMatch,eurostat-nace2-isic4
NACE_2.0,192,ISIC_4,192,closeMatch,eurostat-nace2-isic4
NACE_2.0,1920,ISIC_4,1920,closeMatch,eurostat-nace2-isic4
NACE_2.0,20,ISIC_4,20,closeMatch,eurostat-nace2-isic4
NACE_2.0,201,ISIC_4,201,closeMatch,eurostat-nace2-isic4
NACE_2.0,2011,ISIC_4,2011,closeMatch,eurostat-nace2-isic4
NACE_2.0,2012,ISIC_4,2011,closeMatch,eurostat-nace2-isic4
NACE_2.0,2013,ISIC_4,2011,closeMatch,eurostat-nace2-isic4
NACE_2.0,2014,ISIC_4,2011,closeMatch,eurostat-nace2-isic4
NACE_2.0,2015,ISIC_4,2012,closeMatch,eurostat-nace2-isic4
NACE_2.0,2016,ISIC_4,2013,closeMatch,eurostat-nace2-isic4
NACE_2.0,2017,ISIC_4,2013,closeMatch,eurostat-nace2-isic4
NACE_2.0,202,ISIC_4,202,closeMatch,eurostat-nace2-isic4
NACE_2.0,2020,ISIC_4,2021,closeMatch,eurostat-nace2-isic4
NACE_2.0,203,ISIC_4,202,closeMatch,eurostat-nace2-isic4
NACE_2.0,2030,ISIC_4,2022,closeMatch,eurostat-nace2-isic4
NACE_2.0,204,ISIC_4,202,closeMatch,eurostat-nace2-isic4
NACE_2.0,2041,ISIC_4,2023,closeMatch,eurostat-nace2-isic4
NACE_2.0,2042,ISIC_4,2023,closeMatch,eurostat-nace2-isic4
NACE_2.0,205,ISIC_4,202,closeMatch,eurostat-nace2-isic4
NACE_2.0,2051,ISIC_4,2029,closeMatch,eurostat-nace2-isic4
NACE_2.0,2052,ISIC_4,2029,closeMatch,eurostat-nace2-isic4
NACE_2.0,2053,ISIC_4,2029,closeMatch,eurostat-nace2-isic4
NACE_2.0,2059,ISIC_4,2029,closeMatch,eurostat-nace2-isic4
NACE_2.0,206,ISIC_4,203,closeMatch,eurostat-nace2-isic4
NACE_2.0,2060,ISIC_4,2030,closeMatch,eurostat-nace2-isic4
NACE_2.0,21,ISIC_4,21,closeMatch,eurostat-nace2-isic4
NACE_2.0,211,ISIC_4,210,closeMatch,eurostat-nace2-isic4
NACE_2.0,2110,ISIC_4,2100,closeMatch,eurostat-nace2-isic4
NACE_2.0,212,ISIC_4,210,closeMatch,eurostat-nace2-isic4
NACE_2.0,2120,ISIC_4,2100,closeMatch,eurostat-nace2-isic4
NACE_2.0,22,ISIC_4,22,closeMatch,eurostat-nace2-isic4
NACE_2.0,221,ISIC_4,221,closeMatch,eurostat-nace2-isic4
NACE_2.0,2211,ISIC_4,2211,closeMatch,eurostat-nace2-isic4
NACE_2.0,2219,ISIC_4,2219,closeMatch,eurostat-nace2-isic4
NACE_2.0,222,ISIC_4,222,closeMatch,eurostat-nace2-isic4
NACE_2.0,2221,ISIC_4,2220,closeMatch,eurostat-nace2-isic4
NACE_2.0,2222,ISIC_4,2220,closeMatch,eurostat-nace2-isic4
NACE_2.0,2223,ISIC_4,2220,closeMatch,eurostat-nace2-isic4
NACE_2.0,2229,ISIC_4,2220,closeMatch,eurostat-nace2-isic4
NACE_2.0,23,ISIC_4,23,closeMatch,eurostat-nace2-isic4
NACE_2.0,231,ISIC_4,231,closeMatch,eurostat-nace2-isic4
NACE_2.0,2311,ISIC_4,2310,closeMatch,eurostat-nace2-isic4
NACE_2.0,2312,ISIC_4,2310,closeMatch,eurostat-nace2-isic4
NACE_2.0,2313,ISIC_4,2310,closeMatch,eurostat-nace2-isic4
NACE_2.0,2314,ISIC_4,2310,closeMatch,eurostat-nace2-isic4
NACE_2.0,2319,ISIC_4,2310,closeMatch,eurostat-nace2-isic4
NACE_2.0,232,ISIC_4,239,closeMatch,eurostat-nace2-isic4
NACE_2.0,2320,ISIC_4,2391,closeMatch,eurostat-nace2-isic4
NACE_2.0,233,ISIC_4,239,closeMatch,eurostat-nace2-isic4
NACE_2.0,2331,ISIC_4,2392,closeMatch,eurostat-nace2-isic4
NACE_2.0,2332,ISIC_4,2392,closeMatch,eurostat-nace2-isic4
NACE_2.0,234,ISIC_4,239,closeMatch,eurostat-nace2-isic4
NACE_2.0,2341,ISIC_4,2393,closeMatch,eurostat-nace2-isic4
NACE_2.0,2342,ISIC_4,2393,closeMatch,eurostat-nace2-isic4
NACE_2.0,2343,ISIC_4,2393,closeMatch,eurostat-nace2-isic4
NACE_2.0,2344,ISIC_4,2393,closeMatch,eurostat-nace2-isic4
NACE_2.0,2349,ISIC_4,2393,closeMatch,eurostat-nace2-isic4
NACE_2.0,235,ISIC_4,239,closeMatch,eurostat-nace2-isic4
NACE_2.0,2351,ISIC_4,2394,closeMatch,eurostat-nace2-isic4
NACE_2.0,2352,ISIC_4,2394,closeMatch,eurostat-nace2-isic4
NACE_2.0,236,ISIC_4,239,closeMatch,eurostat-nace2-isic4
NACE_2.0,2361,ISIC_4,2395,closeMatch,eurostat-nace2-isic4
