noga_2008,noga_2025,nace_2_0,nace_2_1,isic_4,mapping_type,notes
,,1102,,1102,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1103,,1102,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1104,,1102,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1105,,1103,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1106,,1103,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1107,,1104,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,12,,12,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,120,,120,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1200,,1200,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,13,,13,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,131,,131,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1310,,1311,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,132,,131,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1320,,1312,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,133,,131,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1330,,1313,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,139,,139,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1391,,1391,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1392,,1392,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1393,,1393,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1394,,1394,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1395,,1399,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1396,,1399,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1399,,1399,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,14,,14,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,141,,141,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1411,,1410,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1412,,1410,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1413,,1410,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1414,,1410,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1419,,1410,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,142,,142,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1420,,1420,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,143,,143,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1431,,1430,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1439,,1430,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,15,,15,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,151,,151,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1511,,1511,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1512,,1512,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,152,,152,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1520,,1520,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,16,,16,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,161,,161,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1610,,1610,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,162,,162,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1621,,1621,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1622,,1622,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1623,,1622,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1624,,1623,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1629,,1629,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,17,,17,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,171,,170,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1711,,1701,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1712,,1701,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,172,,170,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1721,,1702,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,1722,,1709,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
