name,country,date_added,category,source_url,source_list,warning_type,additional_info
https://swissonetrust.com,,2024-11-13,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/swissonetrust-com/,finma-warnings,unauthorized_provider,swissonetrust-com
Altreserve,,2024-11-07,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/altreserve/,finma-warnings,unauthorized_provider,altreserve
Quantorex,,2024-11-07,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/quantorex/,finma-warnings,unauthorized_provider,quantorex
www.aquilami.de,,2024-11-07,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/www-aquilami-de/,finma-warnings,unauthorized_provider,www-aquilami-de
GlobalCIM,,2024-11-07,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/globalcim/,finma-warnings,unauthorized_provider,globalcim
SignalPlus24,,2024-11-05,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/signalplus24/,finma-warnings,unauthorized_provider,signalplus24
The biggest Future,,2024-11-04,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/the-biggest-future/,finma-warnings,unauthorized_provider,the-biggest-future
https://www.globaldib.com/,,2024-11-04,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/www-globaldib-com/,finma-warnings,unauthorized_provider,www-globaldib-com
Virgin,,2024-11-01,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/virgin/,finma-warnings,unauthorized_provider,virgin
Corpteck,,2024-10-31,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/corpteck/,finma-warnings,unauthorized_provider,corpteck
www.bazehld.com,,2024-10-30,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/www-bazehld-com/,finma-warnings,unauthorized_provider,www-bazehld-com
www.investonepartners.org,,2024-10-29,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/www-investonepartners-org/,finma-warnings,unauthorized_provider,www-investonepartners-org
https://cd-investmentssa.com/ (vormals https://cd-investmentssa.ch/),,2024-10-28,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/cd-investmentssacom/,finma-warnings,unauthorized_provider,cd-investmentssacom
Angel Markets,,2024-10-24,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/angel-markets/,finma-warnings,unauthorized_provider,angel-markets
Meyer Vermögens Welt Finance,,2024-10-24,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/meyer-vermoegens-welt-finance/,finma-warnings,unauthorized_provider,meyer-vermoegens-welt-finance
FiveStarBit,,2024-10-23,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/fivestarbit/,finma-warnings,unauthorized_provider,fivestarbit
www.swissfinance-group.ch,,2024-10-23,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/www-swissfinance-group-ch/,finma-warnings,unauthorized_provider,www-swissfinance-group-ch
ig-canada,,2024-10-23,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/ig-canada/,finma-warnings,unauthorized_provider,ig-canada
