hs8,hs6,chapter,heading,designation_fr,designation_de,designation_it,designation_en,unit_stat,duty_mfn_value,duty_mfn_unit,duty_mfn_currency,preferential_regimes,restrictions_codes,customs_relief_codes,valid_from,source_url
71090000,710900,71,7109,"Plaqué ou doublé d'or sur métaux communs ou sur argent, sous formes brutes ou mi-ouvrées","Goldplattierungen auf unedlen Metallen oder auf Silber, in Rohform oder in Form von Halbzeug","Metalli comuni o argento, placcati o doppiati di oro, greggi o semilavorati","Base metals or silver, clad with gold, not further worked than semi-manufactured",per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=71090000
71129900,711299,71,7112,autres,andere,altri,other,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2002-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=71129900
73011000,730110,73,7301,palplanches,Spundwandeisen,palancole,sheet piling,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=73011000
73063000,730630,73,7306,"autres, soudés, de section circulaire, en fer ou en aciers non alliés","andere, geschweisst, mit kreisförmigem Querschnitt, aus Eisen oder nicht legiertem Stahl","altri, saldati, a sezione circolare, di ferro o di acciai non legati","other, welded, of circular cross-section, of iron or non-alloy steel",per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2024-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=73063000
73141900,731419,73,7314,autres,andere,altri,other,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1996-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=73141900
73199000,731990,73,7319,autres,andere,altri,other,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=73199000
76011000,760110,76,7601,aluminium non allié,nicht legiertes Aluminium,alluminio non legato,"aluminium, not alloyed",per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=76011000
76051100,760511,76,7605,dont la plus grande dimension de la section transversale excède 7 mm,mit einer grössten Querschnittsdimension von mehr als 7 mm,di cui la maggiore dimensione della sezione trasversale eccede 7 mm,of which the maximum cross-sectional dimension exceeds 7 mm,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=76051100
76071100,760711,76,7607,simplement laminées,nur gewalzt,semplicemente laminati,rolled but not further worked,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=76071100
76110000,761100,76,7611,"Réservoirs, foudres, cuves et récipients similaires pour toutes matières (à l'exception des gaz comprimés ou liquéfiés), en aluminium, d'une contenance excédant 300 litres, sans dispositifs mécaniques ou thermiques, même avec revêtement intérieur ou calorifuge","Sammelbehälter, Fässer, Bottiche und ähnliche Behälter, für Stoffe aller Art (ausgenommen verdichtete oder verflüssigte Gase), aus Aluminium, mit einem Fassungsvermögen von mehr als 300 l, ohne mechanische oder wärmetechnische Einrichtungen, auch mit Innenauskleidung oder Wärmeschutzverkleidung","Serbatoi, cisterne, vasche, tini e recipienti simili per qualsiasi materia (esclusi i gas compressi o liquefatti), di alluminio, di capacità eccedente 300 litri, senza dispositivi meccanici o termici, anche con rivestimento interno o calorifugo","Aluminium reservoirs, tanks, vats and similar containers, for any material (other than compressed or liquefied gas), of a capacity exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment",per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=76110000
83011000,830110,83,8301,cadenas,Vorhängeschlösser,lucchetti,padlocks,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=83011000
83023000,830230,83,8302,"autres garnitures, ferrures et articles similaires pour véhicules automobiles","andere Beschläge und ähnliche Waren, für Automobile","altre guarnizioni, ferramenta e oggetti simili per autoveicoli","other mountings, fittings and similar articles suitable for motor vehicles",per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2024-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=83023000
83052000,830520,83,8305,agrafes présentées en barrettes,Heftklammern in Stapelform,punti metallici presentati in barrette,staples in strips,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=83052000
83082000,830820,83,8308,rivets tubulaires ou à tige fendue,Hohlniete oder Spaltniete,rivetti tubolari o a gambo biforcuto,tubular or bifurcated rivets,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=83082000
84011000,840110,84,8401,réacteurs nucléaires,Kernreaktoren,reattori nucleari,nuclear reactors,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=84011000
84179000,841790,84,8417,parties,Teile,parti,parts,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2024-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=84179000
84287000,842870,84,8428,robots industriels,Industrieroboter,robot industriali,industrial robots,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2022-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=84287000
84522100,845221,84,8452,unités automatiques,Automaten,unità automatiche,automatic units,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=84522100
85011000,850110,85,8501,"moteurs d'une puissance n'excédant pas 37,5 W","Motoren mit einer Leistung von nicht mehr als 37,5 W","motori di potenza non eccedente 37,5 W",motors of an output not exceeding 37.5 W,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2024-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=85011000
85094000,850940,85,8509,broyeurs et mélangeurs pour aliments; presse-fruits et presse-légumes,Zerkleinerungs- und Mischmaschinen für Nahrungsmittel; Frucht- und Gemüsepressen,trituratori e mescolatori (mixer) di alimenti; spremifrutta e spremiverdura,food grinders and mixers; fruit or vegetable juice extractors,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,1988-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=85094000
85177100,851771,85,8517,antennes et réflecteurs d'antennes de tous types; parties reconnaissables comme étant utilisées conjointement avec ces articles,"Antennen und Antennenreflektoren aller Art; Teile, die erkennbar gemeinsam mit diesen Waren verwendet werden",antenne e riflettori di antenne di ogni tipo; parti riconoscibili come destinate a essere utilizzate insieme a tali oggetti,aerials and aerial reflectors of all kinds; parts suitable for use therewith,per 100 kg gross,0,par 100 kg brut,CHF,"{""union_europeenne"":""free"",""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""andorre"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""royaume_uni"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2022-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=85177100
